iso3,income_cat,income_share,transfers,liquidity,axfin,diversified_share,n,c,gamma_SP,k
AGO,0.2,0.0379620379620379,0.0116719018287202,80.49773348285981,0.0346965987745852,0.015141561706178752,0.2,1393.9936282969472,0.07778609535858674,8294.751171180062
AGO,0.4,0.07692307692307691,0.0144230663413238,109.74084622497269,0.0456995628628879,0.0189930226276126,0.2,2824.671299443818,0.19771176590572145,16742.05548826778
AGO,0.6,0.12587412587412591,0.0119556261475799,159.26723732401035,0.1512590152016139,0.0270815276677413,0.2,4622.189399089886,0.46130844872824284,27170.207167553286
AGO,0.8,0.2037962037962038,0.011173075107229,148.86073010399463,0.1901296568688489,0.03018604079411391,0.2,7483.544741383624,0.8324995862863295,43849.49073516578
AGO,1.0,0.5554445554445556,0.0131265069987617,200.58715584702685,0.3251495004262276,0.04564145704138445,0.2,20396.32782455537,3.430694103721119,117606.76730617855
ALB,0.2,0.08408408408408401,0.2438882961340818,693.7532348244968,0.030747964800638,0.24696309261414562,0.2,7954.7303214000085,0.5537964737257601,45502.54570294287
ALB,0.4,0.13213213213213212,0.1920463160027037,786.14657068574,0.0766977603363668,0.19971609203634033,0.2,12500.290505057166,0.7037620363188725,75990.30048349839
ALB,0.6,0.17317317317317313,0.1784223643963378,834.4340090577414,0.0827032617132566,0.18669269056766347,0.2,16382.956495264314,0.8622084262304489,101214.07838738986
ALB,0.8,0.23023023023023023,0.1821602594176554,883.2039925014426,0.0856291884061276,0.19072317825826812,0.2,21780.809213357188,1.1710357572639891,133895.22348465328
ALB,1.0,0.3803803803803805,0.1478069756870249,884.9096961500605,0.2068132807901691,0.16848830376604185,0.2,35985.6847872858,1.7091973064609296,227296.16354823275
ARG,0.2,0.051000000000000004,0.3079284570571302,895.971478508013,0.0383591152262322,0.3117643685797534,0.2,6769.497837448806,0.3900865267989432,19034.71581051811
ARG,0.4,0.09699999999999992,0.2106204814373002,1108.7448098423883,0.065731900431188,0.21719367148041901,0.2,12875.31941632419,0.5168722271483548,41177.98870224556
ARG,0.6,0.14800000000000002,0.1856186586991603,1081.4863736299378,0.0371094116419097,0.1893295998633513,0.2,19644.81725377301,0.687455401162427,65064.65019243758
ARG,0.8,0.22500000000000003,0.1901671076339411,1199.9616046035471,0.1938859110476451,0.2095556987387056,0.2,29865.431635803565,1.156768063201495,96447.91836283352
ARG,1.0,0.479,0.1691487503336365,1135.9619558345148,0.2221270147597444,0.19136145180961095,0.2,63580.18557133291,2.2488177816887798,210053.06443220552
ARM,0.2,0.095,0.7311583829557811,657.9710308087906,0.0479004899407548,0.7359484319498566,0.2,9537.422826780088,0.8087532110159309,9443.972445195028
ARM,0.4,0.14000000000000004,0.4942012632729066,757.0102837495615,0.0207471236834298,0.4962759756412496,0.2,14055.149428939081,0.8037043443686053,26549.910118405223
ARM,0.6,0.175,0.4791663974950133,709.5095042988235,0.0669766165796398,0.48586405915297726,0.2,17568.936786173846,0.983553189858854,33873.36705725714
ARM,0.8,0.22100000000000003,0.3868282195219034,757.8773073791867,0.0416642702001703,0.3909946465419204,0.2,22187.05731282526,0.9995582618759254,50670.56409156924
ARM,1.0,0.369,0.3187646712527255,864.5746654891489,0.1026041401135401,0.3290250852640795,0.2,37045.35813770371,1.4044309928806837,93212.6822183357
AUS,0.2,0.07300000000000001,0.495413688002413,2388.940055746142,0.5155466474380117,0.5469683527462141,0.2,21929.93211224587,0.5024998123310566,71360.3137873844
AUS,0.4,0.12400000000000003,0.418384248837678,2722.1364291750165,0.6296838891562465,0.4813526377533026,0.2,37250.8435879245,0.7511659371822949,138771.1566679233
AUS,0.6,0.16600000000000004,0.3966605596646569,2842.2042702607164,0.7270432805527772,0.46936488771993456,0.2,49868.06480318925,0.9805495179452676,190068.1823705182
AUS,0.8,0.22699999999999992,0.3352771609644693,2793.596346270691,0.7461748339028289,0.4098946443547522,0.2,68193.07656821658,1.1709785664209214,289041.8730773913
AUS,1.0,0.41000000000000014,0.2251256474888165,2884.4733312214316,0.8395599018246677,0.30908163767128327,0.2,123168.11186329875,1.5948061661204598,611245.8748609492
AUT,0.2,0.07707707707707702,0.673325530146877,2782.341715434921,0.6638382115932856,0.7397093513062056,0.2,24400.46864188534,0.5881868543709868,67766.74363809402
AUT,0.4,0.13213213213213212,0.5270243814256775,2925.6961615580312,0.6853923440884614,0.5955636158345237,0.2,41829.37481466061,0.811830884248814,180505.93102878303
AUT,0.6,0.17517517517517517,0.4883224865638108,2952.6240360729835,0.6872906804953757,0.5570515546133483,0.2,55455.610549739446,1.0066926994916578,262094.8918418302
AUT,0.8,0.22522522522522526,0.4296256587714232,2863.9074011307903,0.6233226173406197,0.49195792050548515,0.2,71300.07070680788,1.143072969601151,386500.02770149347
AUT,1.0,0.39039039039039053,0.2926961298914178,2808.298385182049,0.6738866481292712,0.36008479470434496,0.2,123586.78922513367,1.4502165922873895,843828.8373417103
AZE,0.2,0.10789210789210792,0.028608649819433,574.2518614287285,0.0096431019212562,0.029572960011558624,0.2,11907.030119557128,0.7232916863451883,19283.64609885405
AZE,0.4,0.13886113886113882,0.0139758966302563,631.7920899800206,0.006776677150343,0.014653564345290637,0.2,15324.788764985553,0.46126765033181516,25200.33174597049
AZE,0.6,0.1668331668331668,0.0183830850531353,756.6757608427961,0.0574110205171255,0.024124187104847872,0.2,18411.796573759624,0.9123554717985006,29985.65453139943
AZE,0.8,0.20879120879120885,0.0145290773562388,819.3421720789613,0.0667226760684371,0.021201344963082458,0.2,23042.30828692074,1.0034705245797915,37639.35372235456
AZE,1.0,0.3776223776223776,0.0144526803268191,786.6997128780297,0.077384177336095,0.022191098060428627,0.2,41674.60541844994,1.899614666944704,68006.16650312759
BDI,0.2,0.07100000000000001,0.0413408594064541,20.98630537579935,0.0156668630717758,0.042907545713631645,0.2,296.64540503316636,0.7221689870032252,549.940659438637
BDI,0.4,0.11199999999999992,0.0281688196734749,26.116027160838655,0.0208023328735856,0.030249052960833467,0.2,467.947681179079,0.8031129270153793,878.9857292946895
BDI,0.6,0.15300000000000002,0.0226373725355159,28.983775350918787,0.0103066802573911,0.023668040561255044,0.2,639.2499573249924,0.8584214224177062,1208.905979649053
BDI,0.8,0.214,0.0210030057951334,29.59557795748158,0.0542069950357003,0.026423705298703415,0.2,894.1143193957408,1.340461367134519,1686.1156263833889
BDI,1.0,0.4500000000000001,0.0020423913604939,32.4371545270993,0.0991772176961484,0.011960113130108696,0.2,1880.1469333088012,1.2758352964291702,3598.2437537265578
BEL,0.2,0.091,0.6804039968072343,3004.0769905531283,0.3643009168596042,0.7168340884931947,0.2,28702.848886942953,0.6629853969459997,94053.05557544154
BEL,0.4,0.144,0.5301994902174214,2876.786245642587,0.558554926711214,0.5860549828885429,0.2,45419.89274417346,0.8577184964076201,217568.33990005593
BEL,0.6,0.18,0.4917224748275089,2975.83958173557,0.5929028848642192,0.5510127633139308,0.2,56774.86593021683,1.008040739884203,294983.04027114064
BEL,0.8,0.222,0.4333055943848564,3003.7959684026373,0.6486143192973283,0.4981670263145892,0.2,70022.33464726743,1.1240143952721697,406633.0885045286
BEL,1.0,0.363,0.2969399994911219,3053.1435808599213,0.6822970173784603,0.36516970122896786,0.2,114495.97962593728,1.3472409714900069,841113.9155965468
BEN,0.2,0.07599999999999998,0.0288489756330517,116.78474218245356,0.0299388508504149,0.03184286071809317,0.2,1482.5038362786893,0.2775422363993733,3283.363949441873
BEN,0.4,0.119,0.0226180247442704,148.62718827510403,0.075413379333577,0.030159362677628088,0.2,2321.288901541632,0.41159731704977337,5149.996332347429
BEN,0.6,0.161,0.0293300980434473,150.58669234829648,0.0141714519705808,0.030747243240505373,0.2,3140.5673373798554,0.5677216725153529,6963.418576675243
BEN,0.8,0.221,0.0380492440699853,151.97352852779414,0.0384354259584916,0.041892786665834514,0.2,4310.9651028630315,1.0617809710947175,9448.567377561803
BEN,1.0,0.423,0.0453933878151527,161.5333455842012,0.0987935155863254,0.055272739373785296,0.2,8251.30424665639,2.6813578029407825,17832.260322782986
BFA,0.2,0.073,0.0298378163253924,92.9560262624313,0.0473461544114331,0.03457243176653568,0.2,929.9954150158311,0.16626688663568134,1891.4365321115376
BFA,0.4,0.112,0.0768881257561609,87.25288571196319,0.0545803211841068,0.08234615787457156,0.2,1426.8422805722341,0.6075952074641263,2758.329388729387
BFA,0.6,0.151,0.0693744741544643,100.12214401164988,0.0303035320283974,0.07240482735730402,0.2,1923.689146128637,0.7202735154531571,3759.106619837354
BFA,0.8,0.21100000000000002,0.0571211051905392,94.19173370829716,0.0775577895636875,0.06487688414690795,0.2,2688.068939292334,0.9018315306692631,5295.420650286777
BFA,1.0,0.45300000000000007,0.0706286328171525,115.0103490677372,0.1662736350452913,0.08725599632168168,0.2,5771.067438385912,2.604032859777772,11096.765467209874
BGD,0.2,0.088,0.0725553962235806,352.64087903235105,0.0444158753443058,0.07699698375801123,0.2,3734.1853809062745,0.40170918714840825,13588.30498164119
BGD,0.4,0.128,0.0643443646564598,365.7838455493808,0.0374479016299205,0.06808915481945188,0.2,5431.542372227309,0.5167057475603238,19955.55583389709
BGD,0.6,0.165,0.0681245346091783,349.47674570097894,0.0871026207805918,0.07683479668723747,0.2,7001.597589199265,0.7516181693626726,25482.548764019597
BGD,0.8,0.21799999999999997,0.0685341750587088,405.9696438272232,0.0426962158189025,0.072803796640599,0.2,9250.595602699634,0.940948601054171,33814.862953824566
BGD,1.0,0.401,0.0916107505515469,383.8069383807995,0.0887852689868649,0.1004892774502334,0.2,17016.003837993365,2.3890182948744236,60343.46033210863
BGR,0.2,0.059940059940059895,0.5143871014964608,1197.2426250313094,0.085879652429199,0.5229750667393808,0.2,10215.343245268734,0.5618755715427156,19474.71632649913
BGR,0.4,0.1128871128871129,0.3831383054547729,1224.357911352747,0.1091351980626519,0.3940518252610381,0.2,19238.89644525613,0.7973329346449702,46590.00269986596
BGR,0.6,0.1538461538461538,0.2747142554337186,1474.306453127383,0.2106339517632901,0.29577765061004757,0.2,26219.38099618976,0.8156315041436706,73792.00916105352
BGR,0.8,0.2117882117882118,0.2424259360576438,1500.4454648808198,0.301832503731686,0.27260918643081244,0.2,36094.21279994956,1.0348663464456382,104925.84692439495
BGR,1.0,0.4615384615384616,0.1716379026463169,1498.2930801826597,0.4477062865915038,0.21640853130546733,0.2,78658.14298856932,1.7902936432230048,246326.13074487305
BIH,0.2,0.07492507492507491,0.2493329348075661,803.9419765295869,0.104724877497238,0.2598054225572899,0.2,7653.4842885738735,0.5035448768551569,19300.600034337313
BIH,0.4,0.12287712287712292,0.2163130597154035,806.1016708359573,0.0930333077990065,0.22561639049530413,0.2,12551.714233261158,0.7171408563314121,33115.0116362742
BIH,0.6,0.16683316683316682,0.1950862519394944,761.6343007876895,0.1617418059503435,0.21126043253452875,0.2,17041.758349224492,0.9117239069209937,45794.54490482325
BIH,0.8,0.2287712287712287,0.1775716167919232,870.5800839705291,0.2172428020827168,0.1992958970001949,0.2,23368.63869444556,1.179403866468105,63748.67825151078
BIH,1.0,0.40659340659340665,0.1250367678976992,941.5206404760064,0.3547146187671846,0.1605082297744177,0.2,41532.9080726609,1.6881864934243322,118788.52796976083
BLR,0.2,0.10289710289710291,0.6060596860676949,665.6342939712248,0.132541551161787,0.6193138411838736,0.2,14939.388119003348,0.6917232696061187,29009.51766596779
BLR,0.4,0.1448551448551448,0.5561273681246781,872.521870229729,0.1361834226426805,0.5697457103889462,0.2,21031.177449082374,0.8958461692751144,46156.13209546408
BLR,0.6,0.17982017982017978,0.5010439445740557,850.12981579739,0.2393593302941999,0.5249798776034756,0.2,26107.668557481575,1.024706608458299,63258.764977436746
BLR,0.8,0.22477522477522477,0.4397599789088398,973.9506648266188,0.2960071291924628,0.46936069182808604,0.2,32634.585696851973,1.1451796135081398,88332.01400523014
BLR,1.0,0.34765234765234754,0.2987825677412729,1084.3387130920194,0.3048448514876219,0.329267052890035,0.2,50474.8258777977,1.2425443391523274,172689.16129895355
BLZ,0.2,0.057942057942057916,0.4203675239970898,363.97072887406415,0.1241017861021918,0.43277770260730897,0.2,3846.754472616746,0.7703258012856409,10586.022701424245
BLZ,0.4,0.10489510489510491,0.2503314188213271,327.1902700242706,0.1297096369644116,0.2633023825177683,0.2,6963.952062495839,0.8484488426897946,24890.29805947744
BLZ,0.6,0.15184815184815184,0.1231891146486744,467.16148794763455,0.253583969594534,0.14854751160812785,0.2,10081.149652374927,0.6929318802744354,41644.2974563787
BLZ,0.8,0.22277722277722284,0.1128746021275878,465.6289533344482,0.2546641506197215,0.13834101718955993,0.2,14790.10771368164,0.9467545507881228,61828.9421142234
BLZ,1.0,0.4625374625374626,0.0867607509222402,504.2195413874797,0.3580542071596932,0.12256617163820949,0.2,30707.71242795784,1.7415389249620057,130721.46247395211
BOL,0.2,0.052000000000000005,0.2413402117938895,369.5645317985533,0.1069240174097435,0.25203261353486384,0.2,2559.511981435835,0.4198284973464321,4702.735550514215
BOL,0.4,0.10000000000000003,0.144758801522427,404.9554878485928,0.1048861766688999,0.15524741918931695,0.2,4922.138425838145,0.49732033455926716,10213.95827867886
BOL,0.6,0.14800000000000002,0.1136649573588637,438.5811058385639,0.1561596670635573,0.1292809240652194,0.2,7284.764870240453,0.6129259247019558,15581.322867530065
BOL,0.8,0.22300000000000006,0.1093433016804801,435.2405682166181,0.345694380338251,0.14391273971430518,0.2,10976.368689619063,1.0280540113698347,23082.744771134854
BOL,1.0,0.47700000000000004,0.1311088476883212,446.2982020740406,0.2869695743907149,0.15980580512739273,0.2,23478.60029124795,2.441871232022509,48457.67890847424
BRA,0.2,0.037,0.3508706718680682,770.648358775231,0.1571299778863673,0.36658366965670486,0.2,3634.863282103612,0.2963017344140192,12319.308700726926
