iso3,hazard,protection,ew
AGO,Earthquake,0.0,0.6000000000000001
AGO,Flood,16.2837807358223,0.6000000000000001
ALB,Earthquake,0.0,0.2189508189873339
ALB,Flood,15.008699071597675,0.2189508189873339
ALB,Tsunami,0.0,0.2189508189873339
ARG,Earthquake,0.0,0.6375410621136512
ARG,Flood,50.28712960181791,0.6375410621136512
ARM,Earthquake,0.0,0.3133509856523386
ARM,Flood,10.184045582758348,0.3133509856523386
AUS,Earthquake,0.0,0.9301463158373546
AUS,Flood,98.29323953404408,0.9301463158373546
AUS,Storm surge,99.04989195220244,0.9301463158373546
AUS,Tsunami,0.0,0.9301463158373546
AUS,Wind,0.0,0.9301463158373546
AUT,Earthquake,0.0,0.8577375757241545
AUT,Flood,610.2947912346258,0.8577375757241545
AZE,Earthquake,0.0,0.4529391405030171
AZE,Flood,15.046288125688177,0.4529391405030171
BDI,Earthquake,0.0,0.6000000000000001
BDI,Flood,1.6051842853388325,0.6000000000000001
BEL,Earthquake,0.0,0.6902337998079515
BEL,Flood,223.9174768960118,0.6902337998079515
BEN,Earthquake,0.0,0.3847971666493662
BEN,Flood,6.076200299025755,0.3847971666493662
BFA,Earthquake,0.0,0.5325130244580834
BFA,Flood,1.9193348687248255,0.5325130244580834
BGD,Earthquake,0.0,0.8203511395181686
BGD,Flood,50.148490466224665,0.8203511395181686
BGD,Storm surge,1.8441669614862417,0.8203511395181686
BGD,Tsunami,0.0,0.8203511395181686
BGD,Wind,0.0,0.8203511395181686
BGR,Earthquake,0.0,0.5481724147748034
BGR,Flood,28.32172637558509,0.5481724147748034
BIH,Earthquake,0.0,0.3587490009203474
BIH,Flood,18.797171747039837,0.3587490009203474
BLR,Earthquake,0.0,0.8
BLR,Flood,14.01278296700845,0.8
BLZ,Earthquake,0.0,0.6009074332656212
BLZ,Flood,16.259928771944512,0.6009074332656212
BLZ,Storm surge,0.0444447825830338,0.6009074332656212
BLZ,Tsunami,0.0,0.6009074332656212
BLZ,Wind,0.0,0.6009074332656212
BOL,Earthquake,0.0,0.6197954434967983
BOL,Flood,6.737665257473065,0.6197954434967983
BRA,Earthquake,0.0,0.3928613642977452
BRA,Flood,21.75718060649919,0.3928613642977452
BRA,Tsunami,0.0,0.3928613642977452
BTN,Earthquake,0.0,0.6000000000000001
BTN,Flood,9.694289300175296,0.6000000000000001
BWA,Earthquake,0.0,0.8
BWA,Flood,16.72853915628985,0.8
CAN,Earthquake,0.0,0.7828004369006899
CAN,Flood,67.65192054639203,0.7828004369006899
CAN,Tsunami,0.0,0.7828004369006899
CHE,Earthquake,0.0,0.9344967924968568
CHE,Flood,30.922123126177933,0.9344967924968568
CHL,Earthquake,0.0,0.6397672985802739
CHL,Flood,57.34648537390379,0.6397672985802739
CHL,Tsunami,0.0,0.6397672985802739
CHN,Earthquake,0.0,0.8
CHN,Flood,32.60001163682333,0.8
CHN,Storm surge,18.0300663422596,0.8
CHN,Tsunami,0.0,0.8
CHN,Wind,0.0,0.8
