iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta
AGO,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5
ALB,18920.894264472896,18404.6379498887,2714617.0,29.4,Albania,ECA,UMICs,0.3020250449045197,0.8333333333333334,0.5916666666666667,0.1620221696857466,0.18748463045754604,0.21884992397836708,0.48179673524553146,0.0651055644399448,0.523627444248986,3.705328168012808,0.06,1.5
ARG,26547.050342936498,25284.1877853823,45696159.0,42.4,Argentina,LAC,UMICs,0.4869371336118353,0.5,0.3,0.3074152642375409,0.20380071734395647,0.4115166295726825,0.34367910386630984,0.0542300266071183,0.257532871092025,3.705328168012808,0.06,1.5
ARM,20078.7848984844,18725.7119227579,3033500.0,27.2,Armenia,ECA,UMICs,0.3740101200533297,0.5,0.4416666666666666,0.469678089191154,0.4322400213249921,0.17769329613535187,0.5709491164853788,0.0793755193148248,0.609061512543324,3.705328168012808,0.06,1.5
AUS,60082.00578697499,58522.8987735291,27204809.0,33.8,Australia,EAP,HICs,0.6790700317264603,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.39730054390714714,0.4990071487909325,0.3409184990078206,0.0717809049401884,0.130579647597431,3.705328168012808,0.06,1.5
AUT,63314.46278764539,62305.6383565027,9178482.0,31.2,Austria,ECA,HICs,0.6743220859874698,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4846643057522519,0.5393368608613751,0.270136917753844,0.0457523302025281,0.157215546374602,3.705328168012808,0.06,1.5
AZE,22072.105832734596,19693.9063534123,10202850.0,26.6,Azerbaijan,ECA,UMICs,0.4799341211716937,0.8333333333333334,0.6666666666666667,0.6127220701287495,0.022056723812067514,0.1124132366200331,0.3427389910714581,0.0293576109209773,0.6754557894723691,3.705328168012808,0.06,1.5
BDI,835.6208592483559,851.962370060218,14047786.0,37.5,Burundi,SSA,LICs,0.6666666666666667,0.5,0.5,0.5273924728010927,0.021092263725624658,0.06653454885429888,0.5397926597088019,0.0458501152088947,0.8475507922333191,3.705328168012808,0.06,1.5
BEL,63083.1843669076,62352.5605666743,11876844.0,26.8,Belgium,ECA,HICs,0.3576976268957179,0.8333333333333334,0.8500000000000001,0.1700950073738132,0.49195579837329256,0.5121154363401297,0.3396589115047526,0.0672313637665596,0.150241650782864,3.705328168012808,0.06,1.5
BEN,3901.32588494392,3822.67948629058,14462724.0,34.4,Benin,SSA,LMICs,0.6048974177043009,0.5,1.0,0.4570694328380306,0.043598002343194796,0.05753900697795942,0.5670954344776706,0.0387424819984428,0.8803963841468629,3.705328168012808,0.06,1.5
BFA,2547.9326438789894,2569.09345817925,23548781.0,37.4,Burkina Faso,SSA,LICs,0.5860386582748977,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.07589567502058142,0.11111088342598387,0.4899256555605446,0.0409248436553048,0.752755377834778,3.705328168012808,0.06,1.5
BGD,8486.78495660517,8854.72230612135,173562364.0,30.9,Bangladesh,SAR,LMICs,0.7430143350200373,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.08433631576618318,0.22186505750245325,0.5115710738806413,0.0694648897673418,0.533941897588006,3.705328168012808,0.06,1.5
BGR,34085.1952950467,32274.6230621858,6444366.0,39.5,Bulgaria,ECA,HICs,0.4856640200425024,0.8333333333333334,0.7250000000000001,0.3470229186386416,0.27895105638288276,0.4520874395772141,0.3145323648239322,0.0693527494390324,0.112936762960032,3.705328168012808,0.06,1.5
BIH,20429.700727633197,19913.9548286205,3164253.0,33.0,Bosnia and Herzegovina,ECA,UMICs,0.202715421325147,0.8333333333333334,0.5666666666666667,0.3638449267006413,0.19328903585136673,0.3897954552734887,0.25627997914117806,0.0382657309893619,0.227038537991475,3.705328168012808,0.06,1.5
BLR,29037.5291400434,28074.4955028392,9133712.0,24.4,Belarus,ECA,UMICs,0.7333333333333333,0.8333333333333334,0.5166666666666667,0.3634728967331161,0.46062929239162176,0.5965909687047342,0.25939189533689544,0.0623527820159084,0.0453709688849566,3.705328168012808,0.06,1.5
BLZ,13277.935265825397,11921.5830532649,417072.0,39.9,Belize,LAC,UMICs,0.5020893021045503,0.6666666666666666,0.4333333333333333,0.2461876535285786,0.16276250048130655,0.2773668571009565,0.31068361607682293,0.0416571088016665,0.360459676004445,3.705328168012808,0.06,1.5
BOL,9844.276851676288,9404.20916239205,12413315.0,42.1,Bolivia,LAC,LMICs,0.3505492399830046,0.5,0.3666666666666666,0.4823807976371062,0.15608392458645348,0.08714808315398351,0.3247043979114604,0.0388710818518428,0.6746049096878189,3.705328168012808,0.06,1.5
BRA,19647.9096329925,18932.3549097991,211998573.0,51.6,Brazil,LAC,UMICs,0.5291082704872349,0.6666666666666666,0.55,0.2423649776461265,0.22888147793198219,0.29075564868763876,0.37895057995446535,0.0666398587559825,0.312282709904483,3.705328168012808,0.06,1.5
BTN,14645.2656341911,13239.7011889342,791524.0,28.5,Bhutan,SAR,LMICs,0.6,0.8333333333333334,1.0,0.15485283162287,0.05128915470679245,0.1814117372706933,0.506559256129734,0.0185428070886107,0.707052576086817,3.705328168012808,0.06,1.5
BWA,18068.505069800496,19060.9054268781,2521139.0,54.9,Botswana,SSA,UMICs,0.6,0.6666666666666666,0.6708333333333334,0.2158499620289047,0.15561020086431637,0.38681961523701236,0.26625811100604424,0.0247844741888293,0.3107806505288289,3.705328168012808,0.06,1.5
CAN,56691.90701005028,55318.6112749144,41288599.0,31.1,Canada,NMA,HICs,0.7290944203661487,0.6666666666666666,0.825,0.2209511482560882,0.40155396937005305,0.37516708283402195,0.41036124074933444,0.0954167866448495,0.131513080870593,3.705328168012808,0.06,1.5
CHE,82026.40873045908,79631.6407153478,9034102.0,33.8,Switzerland,ECA,HICs,0.8346389202560219,1.0,1.0,0.2289916063398242,0.4629290069466026,0.6133628968362187,0.218287494868952,0.0259487589742676,0.166061918423514,3.705328168012808,0.06,1.5
CHL,30182.787122471396,28707.1035801015,19764771.0,43.0,Chile,LAC,HICs,0.5408725972262776,1.0,0.8666666666666667,0.2231146309942332,0.2623827014981074,0.5006053254275413,0.3568957700799654,0.0521327629249072,0.246453204652613,3.705328168012808,0.06,1.5
