iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta,average_aid_cost_pc,dk,dw,dc,dk_tot,dc_tot,dw_tot,dWpc_currency,dWtot_currency,risk_to_wellbeing,risk_to_consumption,resilience,risk_to_assets
AGO,7344.145378553929,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.4416666666666666,0.1718626068564378,0.03694776924106429,0.1637065759760711,0.47799532162789515,0.0451187848464295,0.655007400457814,3.705328168012808,0.06,1.5,0.0,4.5267123032873755,3.3514534882225085e-05,7.272753695424217,171498338.78878766,275534448.31903386,1269.7266078532123,21.09332743876099,799138618.2524556,0.0028721282533917232,0.0009902791026797772,0.21460399343960837,0.0006163701928485912
ALB,18920.894264472896,18404.6379498887,2714617.0,29.4,Albania,ECA,UMICs,0.3020250449045197,0.8333333333333334,0.5916666666666667,0.1620221696857466,0.18748463045754604,0.21884992397836708,0.48179673524553146,0.0651055644399448,0.523627444248986,3.705328168012808,0.06,1.5,0.0,175.58154430841995,0.00018738426883789449,278.94854929720293,476636645.0658901,757238474.0475252,508.6765217199186,487.6919831940296,1323896948.342227,0.02577531359655404,0.014742883998933122,0.36002548813389934,0.009279769859403701
ARG,26547.050342936498,25284.1877853823,45696159.0,42.4,Argentina,LAC,UMICs,0.4869371336118353,0.5,0.3,0.3074152642375409,0.20380071734395647,0.4115166295726825,0.34367910386630984,0.0542300266071183,0.257532871092025,3.705328168012808,0.06,1.5,0.0,80.10160273552998,3.1913388932410154e-05,119.33285187631112,3660335574.757613,5453052973.263362,1458.3192948842545,138.03757945473984,6307787178.738925,0.005199733215990535,0.004495145424247202,0.5802883754694781,0.0030173447407818325
ARM,20078.7848984844,18725.7119227579,3033500.0,27.2,Armenia,ECA,UMICs,0.3740101200533297,0.5,0.4416666666666666,0.469678089191154,0.4322400213249921,0.17769329613535187,0.5709491164853788,0.0793755193148248,0.609061512543324,3.705328168012808,0.06,1.5,0.0,113.8915559822101,9.173913079950711e-05,174.13130436952852,345490035.07203436,528227311.8049648,278.29065328030487,261.0121727121076,791780425.9221784,0.012999400811939048,0.00867240250094379,0.4363457642561013,0.005672233482156928
AUS,60082.00578697499,58522.8987735291,27204809.0,33.8,Australia,EAP,HICs,0.6790700317264603,0.8333333333333334,0.9166666666666669,0.2309980310138752,0.39730054390714714,0.4990071487909325,0.3409184990078206,0.0717809049401884,0.130579647597431,3.705328168012808,0.06,1.5,0.0,83.48727028297021,1.0118023849457259e-05,103.8311856412308,2271255241.979581,2824707573.613227,275.2589062819295,149.00894262459605,4053759823.394094,0.0024800926778795938,0.0017281577783766348,0.5602836233346269,0.0013895553117680565
AUT,63314.46278764539,62305.6383565027,9178482.0,31.2,Austria,ECA,HICs,0.6743220859874698,0.8333333333333334,0.8916666666666666,0.1818653202247265,0.4846643057522519,0.5393368608613751,0.270136917753844,0.0457523302025281,0.157215546374602,3.705328168012808,0.06,1.5,0.0,186.19769683793027,1.7267829535825565e-05,214.0873816385313,1709012208.8683994,1964997178.79639,158.4924625736433,275.1009829912371,2525009420.567376,0.0043449943485095455,0.0033813345673732284,0.6768339931517485,0.0029408398751234956
AZE,22072.105832734596,19693.9063534123,10202850.0,26.6,Azerbaijan,ECA,UMICs,0.4799341211716937,0.8333333333333334,0.6666666666666667,0.6127220701287495,0.022056723812067514,0.1124132366200331,0.3427389910714581,0.0293576109209773,0.6754557894723691,3.705328168012808,0.06,1.5,0.0,74.71649344353106,5.5243870400131675e-05,94.99803599659711,762321175.1303309,969250711.5678807,563.6449231119835,181.15476106715502,1848294853.9540226,0.0082074072333637,0.004303986068049197,0.4124456514605943,0.003385109423167085
BDI,835.6208592483559,851.962370060218,14047786.0,37.5,Burundi,SSA,LICs,0.6666666666666667,0.5,0.5,0.5273924728010927,0.021092263725624658,0.06653454885429888,0.5397926597088019,0.0458501152088947,0.8475507922333191,3.705328168012808,0.06,1.5,0.0,4.103135914644705,0.0006348390004888361,7.98540894604171,57639975.257843085,112177315.9964795,8918.082423321066,15.334778526337798,215419687.09538874,0.018351359179965287,0.009556258508463533,0.26757060153151113,0.00491028421470413
BEL,63083.1843669076,62352.5605666743,11876844.0,26.8,Belgium,ECA,HICs,0.3576976268957179,0.8333333333333334,0.8500000000000001,0.1700950073738132,0.49195579837329256,0.5121154363401297,0.3396589115047526,0.0672313637665596,0.150241650782864,3.705328168012808,0.06,1.5,0.0,102.99106308943912,1.1035580587409987e-05,130.0615405278403,1223208789.7074265,1544720627.2488368,131.06786908609678,174.8499846005578,2076665990.5032272,0.0027717368163215493,0.002061746594328051,0.5890252911644269,0.0016326230852649623
BEN,3901.32588494392,3822.67948629058,14462724.0,34.4,Benin,SSA,LMICs,0.6048974177043009,0.5,1.0,0.4570694328380306,0.043598002343194796,0.05753900697795942,0.5670954344776706,0.0387424819984428,0.8803963841468629,3.705328168012808,0.06,1.5,0.0,4.5441479558561255,6.33367030107627e-05,7.949103228825793,65720757.700711325,114965686.04601628,916.0212547146298,15.433832986030302,223215266.73905212,0.0039560481336852376,0.0020375388940214252,0.29442770049210665,0.0011647701550370345
BFA,2547.9326438789894,2569.09345817925,23548781.0,37.4,Burkina Faso,SSA,LICs,0.5860386582748977,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.07589567502058142,0.11111088342598387,0.4899256555605446,0.0409248436553048,0.752755377834778,3.705328168012808,0.06,1.5,0.0,1.1493037584642798,2.465982962842829e-05,1.8286162204436192,27064702.510552227,43061682.90827452,580.7089274171693,3.1715530945253527,74686209.25284983,0.0012447554695547052,0.000717686248432267,0.3623788485358092,0.00045107305376588456
BGD,8486.78495660517,8854.72230612135,173562364.0,30.9,Bangladesh,SAR,LMICs,0.7430143350200373,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.08433631576618318,0.22186505750245325,0.5115710738806413,0.0694648897673418,0.533941897588006,3.705328168012808,0.06,1.5,0.0,51.725596158343414,0.00017328035517762708,77.87249966996698,8977616748.551405,13515735133.308687,30074.948079388596,135.47654931136742,23513630165.043503,0.01596323578411487,0.009175736167246666,0.38180479515655386,0.006094839968589748
