iso3,income_cat,y,c,income_share,diversified_share
AGO,0.2,1425.5575595044982,1393.9936282969495,0.0379620379620379,0.0151415617061787
AGO,0.4,2877.333300348834,2824.6712994438194,0.0769230769230769,0.0189930226276126
AGO,0.6,4669.542632645178,4622.189399089886,0.1258741258741259,0.0270815276677414
AGO,0.8,7536.087787072809,7483.544741383624,0.2037962037962037,0.030186040794114
AGO,1.0,20212.20561319833,20396.32782455537,0.5554445554445555,0.0456414570413844
ALB,0.2,7372.421181015656,7954.730321400019,0.084084084084084,0.2469630926141457
ALB,0.4,12312.113359408251,12500.290505057174,0.1321321321321321,0.1997160920363404
ALB,0.6,16398.92458306814,16382.956495264323,0.1731731731731731,0.1866926905676635
ALB,0.8,21693.994619541452,21780.80921335719,0.2302302302302302,0.1907231782582682
ALB,1.0,36827.01757933097,35985.6847872858,0.3803803803803803,0.1684883037660418
ARG,0.2,5851.562190576924,6769.497837448806,0.051,0.3117643685797535
ARG,0.4,12658.742277671307,12875.319416324202,0.097,0.217193671480419
ARG,0.6,20001.86663143137,19644.817253773013,0.148,0.1893295998633513
ARG,0.8,29649.562308671237,29865.431635803565,0.225,0.2095556987387057
ARG,1.0,64573.518306331665,63580.18557133291,0.479,0.191361451809611
ARM,0.2,4435.626932433111,9537.422826780088,0.095,0.7359484319498566
ARM,0.4,12469.91105260945,14055.14942893908,0.14,0.4962759756412496
ARM,0.6,15909.578313923119,17568.936786173846,0.175,0.4858640591529772
ARM,0.8,23798.853720766143,22187.05731282526,0.221,0.3909946465419204
ARM,1.0,43779.954472690166,37045.35813770371,0.369,0.3290250852640796
AUS,0.2,16484.091977418073,21929.93211224587,0.073,0.5469683527462146
AUS,0.4,32055.86395180827,37250.8435879245,0.124,0.4813526377533027
AUS,0.6,43905.375885975845,49868.06480318925,0.166,0.4693648877199345
AUS,0.8,66768.10356143981,68193.07656821661,0.2269999999999999,0.4098946443547524
AUS,1.0,141196.59355823282,123168.11186329876,0.4100000000000001,0.3090816376712832
AUT,0.2,12324.420532328915,24400.468641885363,0.077077077077077,0.7397093513062059
AUT,0.4,32827.76894901203,41829.37481466063,0.1321321321321321,0.5955636158345237
AUT,0.6,47665.97143407949,55455.61054973946,0.1751751751751751,0.5570515546133484
AUT,0.8,70290.95130479775,71300.07070680789,0.2252252252252252,0.4919579205054853
AUT,1.0,153463.20171800876,123586.78922513367,0.3903903903903905,0.3600847947043449
AZE,0.2,11815.515557320037,11907.030119557128,0.1078921078921079,0.0295729600115587
AZE,0.4,15440.799435322288,15324.788764985562,0.1388611388611388,0.0146535643452907
AZE,0.6,18372.87231864458,18411.79657375963,0.1668331668331668,0.0241241871048479
AZE,0.8,23062.462731069332,23042.30828692074,0.2087912087912088,0.0212013449630825
AZE,1.0,41668.87912131675,41674.60541844994,0.3776223776223775,0.0221910980604287
BDI,0.2,290.0345642752063,296.64540503316636,0.071,0.0429075457136316
BDI,0.4,463.5704573295985,467.9476811790793,0.112,0.0302490529608334
BDI,0.6,637.5679139911415,639.2499573249924,0.153,0.023668040561255
