iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta,average_aid_cost_pc,dk,dw,dc,dk_tot,dc_tot,dw_tot,dWpc_currency,dWtot_currency,risk_to_wellbeing,risk_to_consumption,resilience,risk_to_assets
AGO,7344.14537855393,6254.16953066624,37885849.0,51.3,Angola,SSA,LMICs,0.5975740580549966,0.6666666666666666,0.44166666666666665,0.17186260685643784,0.03694776924106433,0.16370657597607113,0.4779953216278955,0.04511878484642958,0.655007400457814,3.705328168012808,0.06,1.5,0.0,4.526712303287724,3.351453488222795e-05,7.2727536954248,171498338.7888009,275534448.3190559,1269.726607853321,21.093327438762802,799138618.2525243,0.0028721282533919696,0.0009902791026798565,0.21460399343960648,0.0006163701928486386
ALB,18920.894264472903,18404.6379498887,2714617.0,29.4,Albania,ECA,UMICs,0.3020250449045197,0.8333333333333334,0.5916666666666667,0.16202216968574668,0.1874846304575461,0.2188499239783671,0.48179673524553157,0.06510556443994482,0.523627444248986,3.705328168012808,0.06,1.5,0.0,175.5815443084209,0.00018738426883789495,278.94854929720447,476636645.0658926,757238474.0475293,508.67652171991983,487.69198319403114,1323896948.3422313,0.025775313596554113,0.014742883998933197,0.3600254881339001,0.009279769859403746
ARG,26547.050342936498,25284.1877853823,45696159.0,42.4,Argentina,LAC,UMICs,0.4869371336118353,0.5,0.3,0.3074152642375409,0.20380071734395655,0.4115166295726825,0.34367910386630995,0.054230026607118335,0.257532871092025,3.705328168012808,0.06,1.5,0.0,80.1016027355303,3.191338893241002e-05,119.3328518763116,3660335574.7576275,5453052973.263383,1458.3192948842482,138.03757945473924,6307787178.738898,0.005199733215990513,0.00449514542424722,0.580288375469483,0.0030173447407818446
ARM,20078.7848984844,18725.7119227579,3033500.0,27.2,Armenia,ECA,UMICs,0.3740101200533297,0.5,0.44166666666666665,0.469678089191154,0.4322400213249921,0.17769329613535187,0.570949116485379,0.07937551931482487,0.609061512543324,3.705328168012808,0.06,1.5,0.0,113.89155598221039,9.173913079950734e-05,174.13130436952898,345490035.0720353,528227311.80496615,278.2906532803055,261.0121727121082,791780425.9221803,0.01299940081193908,0.008672402500943813,0.4363457642561013,0.005672233482156942
AUS,60082.005786974994,58522.8987735291,27204809.0,33.8,Australia,EAP,HICs,0.6790700317264603,0.8333333333333334,0.9166666666666667,0.23099803101387528,0.39730054390714725,0.4990071487909325,0.340918499007821,0.07178090494018849,0.13057964759743101,3.705328168012808,0.06,1.5,0.0,83.48727028297296,1.0118023849457494e-05,103.83118564123424,2271255241.9796553,2824707573.61332,275.2589062819358,149.00894262459954,4053759823.3941894,0.002480092677879652,0.0017281577783766918,0.5602836233346322,0.0013895553117681022
AUT,63314.4627876454,62305.6383565027,9178482.0,31.2,Austria,ECA,HICs,0.6743220859874698,0.8333333333333334,0.8916666666666666,0.18186532022472657,0.48466430575225194,0.5393368608613751,0.2701369177538442,0.045752330202528134,0.157215546374602,3.705328168012808,0.06,1.5,0.0,186.19769683793083,1.726782953582561e-05,214.08738163853198,1709012208.868405,1964997178.796396,158.49246257364376,275.10098299123786,2525009420.567383,0.004344994348509556,0.0033813345673732384,0.6768339931517486,0.0029408398751235034
AZE,22072.1058327346,19693.9063534123,10202850.0,26.6,Azerbaijan,ECA,UMICs,0.4799341211716937,0.8333333333333334,0.6666666666666667,0.6127220701287495,0.022056723812067625,0.1124132366200331,0.3427389910714582,0.029357610920977332,0.6754557894723691,3.705328168012808,0.06,1.5,0.0,74.71649344353118,5.524387040013172e-05,94.99803599659725,762321175.1303321,969250711.5678822,563.6449231119839,181.15476106715525,1848294853.954025,0.008207407233363708,0.004303986068049202,0.4124456514605944,0.0033851094231670898
BDI,835.6208592483559,851.962370060218,14047786.0,37.5,Burundi,SSA,LICs,0.6666666666666667,0.5,0.5,0.5273924728010927,0.021092263725624734,0.06653454885429888,0.539792659708802,0.045850115208894746,0.8475507922333191,3.705328168012808,0.06,1.5,0.0,4.103135914644729,0.00063483900048884,7.985408946041757,57639975.25784341,112177315.99648014,8918.082423321117,15.334778526337892,215419687.09539008,0.0183513591799654,0.00955625850846359,0.2675706015315111,0.00491028421470416
BEL,63083.1843669076,62352.5605666743,11876844.0,26.8,Belgium,ECA,HICs,0.35769762689571794,0.8333333333333334,0.8500000000000001,0.17009500737381328,0.4919557983732926,0.5121154363401297,0.3396589115047528,0.06723136376655965,0.150241650782864,3.705328168012808,0.06,1.5,0.0,102.99106308944154,1.1035580587410244e-05,130.06154052784333,1223208789.7074554,1544720627.248873,131.06786908609985,174.84998460056187,2076665990.5032756,0.002771736816321614,0.0020617465943280995,0.589025291164427,0.0016326230852650007
BEN,3901.32588494392,3822.67948629058,14462724.0,34.4,Benin,SSA,LMICs,0.6048974177043009,0.5,1.0,0.4570694328380306,0.04359800234319481,0.05753900697795942,0.567095434477671,0.03874248199844289,0.8803963841468629,3.705328168012808,0.06,1.5,0.0,4.54414795585622,6.333670301076415e-05,7.949103228825955,65720757.70071269,114965686.04601865,916.0212547146509,15.433832986030655,223215266.7390572,0.003956048133685328,0.002037538894021467,0.29442770049210604,0.0011647701550370588
BFA,2547.93264387899,2569.09345817925,23548781.0,37.4,Burkina Faso,SSA,LICs,0.5860386582748977,0.8333333333333334,0.4666666666666667,0.5136741699207948,0.07589567502058146,0.11111088342598388,0.48992565556054474,0.04092484365530483,0.752755377834778,3.705328168012808,0.06,1.5,0.0,1.1493037584643562,2.4659829628429925e-05,1.828616220443741,27064702.510554023,43061682.9082774,580.7089274172079,3.1715530945255646,74686209.25285482,0.001244755469554788,0.0007176862484323147,0.36237884853580915,0.00045107305376591454
BGD,8486.78495660517,8854.72230612135,173562364.0,30.9,Bangladesh,SAR,LMICs,0.7430143350200373,0.8333333333333334,0.6083333333333334,0.2770114487863902,0.08433631576618326,0.22186505750245328,0.5115710738806416,0.06946488976734187,0.533941897588006,3.705328168012808,0.06,1.5,0.0,51.7255961583439,0.0001732803551776287,77.87249966996768,8977616748.551487,13515735133.308813,30074.948079388872,135.4765493113687,23513630165.043724,0.015963235784115022,0.009175736167246748,0.3818047951565539,0.006094839968589808
BGR,34085.19529504671,32274.6230621858,6444366.0,39.5,Bulgaria,ECA,HICs,0.4856640200425024,0.8333333333333334,0.7250000000000001,0.34702291863864165,0.27895105638288276,0.4520874395772141,0.31453236482393226,0.06935274943903241,0.11293676296003201,3.705328168012808,0.06,1.5,0.0,97.41191821567196,2.7905389553521383e-05,109.54787292932554,627758053.7438571,705966587.6780659,179.83254365546838,175.60495639928996,1131662610.4510667,0.005151942210664377,0.0032139429444678915,0.5547219179518889,0.0028578952642770374
BIH,20429.700727633204,19913.9548286205,3164253.0,33.0,Bosnia and Herzegovina,ECA,UMICs,0.20271542132514708,0.8333333333333334,0.5666666666666667,0.36384492670064134,0.19328903585136673,0.3897954552734887,0.25627997914117817,0.03826573098936193,0.227038537991475,3.705328168012808,0.06,1.5,0.0,105.34851383021484,6.319946713612942e-05,123.70407707247155,333349350.93279886,391430996.98879933,199.97910348389894,184.54675948461426,583952637.3394691,0.00903325809540599,0.006055109603497494,0.5708499792920926,0.0051566351967026365
BLR,29037.5291400434,28074.4955028392,9133712.0,24.4,Belarus,ECA,UMICs,0.7333333333333333,0.8333333333333334,0.5166666666666667,0.3634728967331161,0.4606292923916217,0.5965909687047342,0.25939189533689544,0.062352782015908416,0.0453709688849566,3.705328168012808,0.06,1.5,0.0,110.30225627257568,3.1365039589456254e-05,126.62035440746912,1007469041.7438998,1156513850.4957538,286.47923847869157,155.1977168643972,1417531248.896947,0.005344728751399722,0.004360576059925733,0.7107208694890237,0.0037986102653777944
BLZ,13277.935265825397,11921.5830532649,417072.0,39.9,Belize,LAC,UMICs,0.5020893021045503,0.6666666666666666,0.43333333333333335,0.24618765352857863,0.16276250048130664,0.2773668571009565,0.31068361607682327,0.041657108801666586,0.360459676004445,3.705328168012808,0.06,1.5,0.0,280.0844735738335,0.00037028801075267184,357.41019164348205,116815391.56238587,149065783.44913033,154.43676122063835,566.5463828405526,236290632.98407495,0.04266825914558594,0.02691760311284093,0.4943716561555734,0.021093977939078513
BOL,9844.276851676292,9404.20916239205,12413315.0,42.1,Bolivia,LAC,LMICs,0.3505492399830046,0.5,0.36666666666666664,0.48238079763710623,0.1560839245864535,0.08714808315398354,0.32470439791146044,0.0388710818518428,0.6746049096878189,3.705328168012808,0.06,1.5,0.0,35.11570950842113,7.337796600700311e-05,44.24670752841293,435902363.5765267,549248318.263061,910.863806104222,71.67065897053553,889670466.0588332,0.007280439188210293,0.004494663061094077,0.48995935035085314,0.003567119254924408
BRA,19647.9096329925,18932.3549097991,211998573.0,51.6,Brazil,LAC,UMICs,0.5291082704872349,0.6666666666666666,0.55,0.2423649776461265,0.22888147793198227,0.2907556486876387,0.37895057995446535,0.0666398587559825,0.31228270990448304,3.705328168012808,0.06,1.5,0.0,44.338837390994826,3.375362642115311e-05,62.59337415332827,9399770255.369946,13269705999.76068,7155.7206348595555,92.95975434900986,19707335268.420635,0.004731279616275978,0.0031857523432529604,0.476968099813692,0.002256669448262407
BTN,14645.2656341911,13239.7011889342,791524.0,28.5,Bhutan,SAR,LMICs,0.6,0.8333333333333334,1.0,0.15485283162287,0.051289154706792524,0.1814117372706933,0.5065592561297344,0.018542807088610797,0.707052576086817,3.705328168012808,0.06,1.5,0.0,337.3650021515003,0.00036344569994132886,477.7599653675551,267032495.96296412,378158478.82758874,287.6759942003604,644.1476323703649,509858310.56432074,0.043983335533807344,0.032622144063551024,0.5237386356758754,0.02303577214495051
BWA,18068.5050698005,19060.9054268781,2521139.0,54.9,Botswana,SSA,UMICs,0.6,0.6666666666666666,0.6708333333333334,0.21584996202890477,0.15561020086431648,0.3868196152370123,0.2662581110060443,0.024784474188829304,0.31078065052882897,3.705328168012808,0.06,1.5,0.0,29.574621298050005,2.9349187677921042e-05,35.179975237101246,74561731.16474448,88693607.58929019,73.99338167312617,71.28192480071282,179711640.61014432,0.003945092553332076,0.0019470329781682198,0.41489650259492233,0.0016368051027907506
