iso3,hazard,rp,income_cat,di
AGO,Earthquake,10.0,0.2,1.2837223539431704
AGO,Earthquake,10.0,0.4,2.750686720360291
AGO,Earthquake,10.0,0.6,1.72839413912366
AGO,Earthquake,10.0,0.8,0.7827225203780834
AGO,Earthquake,10.0,1.0,2.176932273255735
AGO,Earthquake,10.0,tot,1.744491601412188
AGO,Earthquake,25.0,0.2,3.1623514755973514
AGO,Earthquake,25.0,0.4,6.776105582580271
AGO,Earthquake,25.0,0.6,4.257766283715807
AGO,Earthquake,25.0,0.8,1.9281768442356557
AGO,Earthquake,25.0,1.0,5.362705545681051
AGO,Earthquake,25.0,tot,4.297421146362027
AGO,Earthquake,50.0,0.2,6.369871698895643
AGO,Earthquake,50.0,0.4,13.648996170184898
AGO,Earthquake,50.0,0.6,8.576347430207917
AGO,Earthquake,50.0,0.8,3.883894375859344
AGO,Earthquake,50.0,1.0,10.802008109643678
AGO,Earthquake,50.0,tot,8.656223556958295
AGO,Earthquake,100.0,0.2,12.734261506732295
AGO,Earthquake,100.0,0.4,27.28624605824572
AGO,Earthquake,100.0,0.6,17.145314083452142
AGO,Earthquake,100.0,0.8,7.764446284733352
AGO,Earthquake,100.0,1.0,21.594720045913707
AGO,Earthquake,100.0,tot,17.304997595815443
AGO,Earthquake,250.0,0.2,31.794634324821256
AGO,Earthquake,250.0,0.4,68.12772103512731
AGO,Earthquake,250.0,0.6,42.8080569398839
AGO,Earthquake,250.0,0.8,19.38610497572232
AGO,Earthquake,250.0,1.0,53.91723947585962
AGO,Earthquake,250.0,tot,43.20675135028288
AGO,Earthquake,500.0,0.2,59.28932944247013
AGO,Earthquake,500.0,0.4,127.04177866461663
AGO,Earthquake,500.0,0.6,79.82670801530163
AGO,Earthquake,500.0,0.8,36.15041307817809
AGO,Earthquake,500.0,1.0,100.54265575928308
AGO,Earthquake,500.0,tot,80.57017699196992
AGO,Earthquake,1000.0,0.2,88.6104469862754
AGO,Earthquake,1000.0,0.4,189.86938963994035
AGO,Earthquake,1000.0,0.6,119.30444053246283
AGO,Earthquake,1000.0,0.8,54.02834357747466
AGO,Earthquake,1000.0,1.0,150.26531336742542
AGO,Earthquake,1000.0,tot,120.41558682071573
AGO,Earthquake,2500.0,0.2,150.01718211298814
AGO,Earthquake,2500.0,0.4,321.4482239064718
AGO,Earthquake,2500.0,0.6,201.9820076634841
AGO,Earthquake,2500.0,0.8,91.46979993206085
AGO,Earthquake,2500.0,1.0,254.3986589323692
AGO,Earthquake,2500.0,tot,203.86317450947482
AGO,Earthquake,5000.0,0.2,222.6391233191465
AGO,Earthquake,5000.0,0.4,477.05835928268345
AGO,Earthquake,5000.0,0.6,299.75964405577196
AGO,Earthquake,5000.0,0.8,135.7494906930973
